feature,mean_importance
g-428,0.002186741671771727
g-85,0.0021837750425094064
g-33,0.002180357233047569
g-332,0.002179462856942135
g-155,0.0021751127760297347
g-51,0.0021748118614561738
g-756,0.0021738331788684682
g-579,0.002173628330960706
g-9,0.0021700328556141495
g-160,0.0021678269990360105
g-95,0.0021677805577460835
g-72,0.0021655953224646355
g-730,0.0021644091220581383
g-727,0.0021638479865869155
g-515,0.0021615722010322976
g-237,0.0021513261507502997
g-207,0.00215060056219179
g-233,0.0021499092299565796
g-316,0.0021488326698893617
g-600,0.002138288899922439
g-706,0.0021382304804705835
g-276,0.002136695830197692
g-379,0.0021350701911991635
g-43,0.00213409953081704
g-177,0.002133242778434751
g-324,0.002132336101550336
g-705,0.002128287861274116
g-167,0.0021278817456329003
g-17,0.0021272805407991746
g-585,0.002123206454685951
g-372,0.0021221518554115754
g-229,0.002121208108313009
g-687,0.0021199116712785045
g-238,0.002115238950305482
g-365,0.0021127481186622404
g-335,0.0021065081911966423
g-491,0.0021013988534713357
c-8,0.002100201526868912
g-441,0.002099701347554029
g-405,0.0020984598098176053
g-602,0.002089306036238893
c-9,0.002089084505307371
g-532,0.0020870506012844086
g-404,0.002078400548048226
c-39,0.0020727656679242253
g-153,0.0020724313654039246
c-62,0.00207239444942022
g-385,0.00207237899695663
g-98,0.0020689480646800076
g-485,0.0020686162567053403
g-82,0.0020677129523252926
g-716,0.0020673379202749147
g-439,0.0020664956920166066
g-387,0.0020659442877322518
g-693,0.0020654551229809495
c-68,0.0020602344253750774
g-101,0.0020568785737857392
g-548,0.002056453565234868
g-654,0.002055602805767033
g-211,0.002051589816423142
g-353,0.0020509741988867084
g-344,0.00205083219702291
g-414,0.002050657469216138
g-506,0.0020458972527468548
g-704,0.002045622951686426
g-681,0.0020427759996297875
g-200,0.002041862309157764
g-569,0.0020413477272404937
g-765,0.002039924970258764
g-708,0.0020367065283147796
g-498,0.002036371282614344
g-73,0.0020355268348718524
g-38,0.002035372784960448
g-499,0.0020346605547821414
c-36,0.0020336878368373244
g-126,0.0020300061145987315
c-83,0.0020294909304443835
g-582,0.0020292619879500647
c-13,0.0020280668110137573
g-74,0.0020265947855310847
g-102,0.0020255110644796016
g-641,0.0020252237408603583
g-290,0.0020235919571828195
g-62,0.0020218003664677587
g-601,0.0020215275077322737
g-29,0.002018910584970978
g-577,0.0020157316665875614
g-331,0.0020115919538775074
g-287,0.002008356120394333
g-172,0.002004909315572572
g-260,0.002004479283993045
g-619,0.002003235716432095
g-451,0.0019992582681451127
g-152,0.001998810398989472
g-723,0.00199853184535017
g-24,0.0019929819859591533
g-458,0.0019892692962244062
g-714,0.001988180072698621
g-245,0.0019879596649372065
c-67,0.0019830455194628435
g-745,0.0019829212680009343
g-249,0.001981621053846168
g-35,0.001981507403443441
g-339,0.001979723129449939
g-349,0.0019761291874257213
g-77,0.001973027724486089
g-208,0.001971497396686486
g-541,0.001970113488649204
g-757,0.0019683660040217673
g-627,0.0019662689228323546
c-55,0.0019662132040880295
g-309,0.0019661347308300202
g-668,0.0019638787936921936
c-29,0.0019633619086482563
g-686,0.0019630189924967926
g-407,0.0019615284176493167
g-643,0.0019614561583412176
g-754,0.0019613245929642905
g-739,0.001961004144153196
g-217,0.0019607855554994672
g-105,0.0019599675587412355
g-300,0.0019599012896660325
g-573,0.001959880402944349
c-40,0.001957766233393308
g-397,0.001957118783015147
c-16,0.0019566267084399494
g-250,0.001956597788002
g-470,0.001955538785481142
c-57,0.001952057022437647
g-232,0.001946755514269817
g-759,0.0019457642909414818
c-90,0.0019446511344907835
g-269,0.0019446320323455765
g-752,0.0019420849123337827
g-700,0.0019416349925471797
g-551,0.0019377608350625093
g-703,0.0019374708592581836
g-616,0.001935248892748346
g-163,0.0019311578320234859
g-224,0.001930263406886273
g-542,0.0019276409483369261
g-151,0.0019261673288578018
c-92,0.0019260792445305868
g-390,0.0019245183696783915
g-144,0.0019216310176676573
g-236,0.0019210992587337915
c-43,0.0019205375317440383
g-455,0.0019196507142433428
g-240,0.0019189450598920887
g-329,0.0019189113933484468
c-20,0.0019187235686957105
g-362,0.0019187163677430042
g-583,0.0019181838305497997
g-348,0.0019178233970654126
g-482,0.0019159192238614687
g-47,0.0019129003136557144
g-650,0.0019122800358606787
g-79,0.0019101230122165803
g-277,0.0019026174638151836
g-440,0.0019001605136874271
g-665,0.0018994164327931448
g-129,0.0018991230387392813
g-728,0.0018975196480442678
g-27,0.0018974746508607096
g-670,0.0018943559916996828
c-33,0.0018896362121420141
g-527,0.0018882590424384627
g-291,0.0018874134466045826
g-356,0.0018855971531152608
g-605,0.0018855674309388598
g-71,0.001885421932009178
g-434,0.001885204581214007
g-544,0.0018788022716760572
c-44,0.0018784751545921658
g-289,0.0018779491170458
g-366,0.0018732017981508324
g-465,0.0018713220023665142
g-215,0.0018702696894154346
g-304,0.0018690537310946124
c-21,0.0018681278220743888
g-711,0.0018672140615609385
g-292,0.0018669470028461845
g-664,0.0018668544722974356
g-738,0.0018646970527027007
g-750,0.0018638576568463829
g-454,0.0018629046385767224
g-7,0.0018562119846405611
g-463,0.0018555267928648085
g-450,0.0018551300479536946
c-60,0.0018545866962161438
g-477,0.0018516249162419181
g-574,0.001851222918469662
g-632,0.0018496780123620194
g-563,0.0018488443987175103
g-252,0.0018472798897212113
g-55,0.0018468661750937925
g-508,0.0018451143889629481
g-32,0.0018415675931759176
g-26,0.0018413256255801046
g-546,0.0018394703256527825
g-762,0.0018379649339623307
g-94,0.00183706912671845
g-241,0.0018354355708080977
g-88,0.001834212497846012
g-58,0.0018329601206234706
g-561,0.001832183407716781
g-576,0.001831696667733357
g-46,0.001830117722981213
g-288,0.0018274506847666275
c-95,0.0018247857437668966
g-227,0.0018205781860297285
g-336,0.001819937117592592
g-320,0.0018153039459667755
g-187,0.0018129775310593316
g-96,0.0018095201099944972
g-338,0.0018091264318820287
g-120,0.001808094280722816
g-197,0.0018074818713763221
g-537,0.001807286010648288
g-565,0.0018060073051991358
c-91,0.0018055800818416433
g-139,0.0018051906419433617
g-540,0.0018042311481501591
g-575,0.0018020533042374931
g-305,0.001801124869527163
g-93,0.0017998457523420682
g-701,0.0017992616234630237
g-449,0.0017988512018946602
g-127,0.0017965138759029082
g-554,0.0017963052889548223
g-258,0.0017962245084577261
g-560,0.0017943458284019578
g-110,0.0017926609189838404
g-345,0.0017917836254111987
c-80,0.001791544654724824
g-281,0.0017900826881350783
g-429,0.0017894487952616568
g-653,0.001789007631026852
c-5,0.0017882072176590546
g-535,0.0017869893417882651
g-747,0.0017843564788615502
c-27,0.0017823638576956755
g-59,0.0017806378982819899
g-64,0.001778538825256237
g-367,0.0017781453244845166
g-732,0.0017759677815858087
g_kurtosis,0.0017758387983552665
g-487,0.0017756855002896137
g-593,0.001771922754746431
g-171,0.0017695464560748592
g-609,0.0017680583371199779
g-511,0.0017666641041426548
g-770,0.0017657476410356005
g-266,0.001765367084928981
g-67,0.0017647073685987424
g-11,0.0017638286514080445
c-49,0.0017616696231531482
g-622,0.0017602268583956572
g-6,0.0017600553189517601
g-736,0.0017559672977747744
g-659,0.001755826447804706
g-712,0.0017554401726898445
g-83,0.0017551992614473673
g-92,0.001754396124804757
g-689,0.0017522429997647994
c-7,0.001752022493808648
g-617,0.0017485526610387832
c-81,0.0017479678260386743
g-521,0.0017474261932605164
g-591,0.0017461578292026349
g-589,0.0017459725844829281
g-326,0.001745128134932914
g-610,0.0017444073624767185
g-36,0.0017443982176588613
g-226,0.0017435945238531236
g-270,0.001742835264801228
c-51,0.001742438119319256
c-59,0.0017398319332351132
c-99,0.0017381227245368738
g-8,0.0017355818795160597
g-347,0.0017343773814976716
g-99,0.0017324345675903113
g-20,0.0017318613373441788
g-767,0.0017317495380064303
g-673,0.0017310512629339025
c-34,0.0017287453061853532
g-313,0.0017275133021240907
g-133,0.0017269693119650253
g-90,0.0017268256397342458
g-625,0.001726174115627925
g-453,0.0017242241509920634
g-388,0.0017199700704317313
g-417,0.0017196731351031122
g-648,0.0017195499766384026
c-4,0.00171691407684009
g-425,0.0017164831353711429
g-157,0.0017150684853290059
g-251,0.001713701485124983
g-749,0.001711941696836283
g-196,0.0017119043270347283
g-263,0.0017111614406488073
g-433,0.0017107005660287136
g-112,0.001710599938237644
g-571,0.0017094314080661709
c-82,0.0017091829916330002
g-259,0.0017076442357622302
g-70,0.0017069536713469192
g-480,0.001706697212138308
g-740,0.0017057699946209706
g-342,0.0017048026974970426
g-671,0.0017028707961481671
g-432,0.0017025463887519073
g-214,0.0017000040860256555
g-652,0.001698219130190661
g-753,0.0016964049664786962
g-769,0.0016956445922557755
c-89,0.001694079648829008
c-87,0.0016936342212078993
g-273,0.0016905052036560694
g-424,0.0016898323874968047
